Survived,Pclass,SibSp,Parch,Age_scaled,Fare_scaled,FamilySize,IsAlone,Sex_encoded,Embarked_Q,Embarked_S
0,3,1,0,-0.5657364610748746,0.014151057562208049,2,0,1,False,True
1,1,1,0,0.6638610320657843,0.13913573538264068,2,0,0,False,False
1,3,0,0,-0.2583370877897099,0.015468569817999833,1,1,0,False,True
1,1,1,0,0.4333115021019107,0.10364429745562033,2,0,0,False,True
0,3,0,0,0.4333115021019107,0.015712553569072387,1,1,1,False,True
0,3,0,0,-0.10463740114712752,0.01650950209357577,1,1,1,True,False
0,1,0,0,1.893458525206443,0.10122885832000206,1,1,1,False,True
0,3,3,1,-2.1027333275006983,0.04113566043083236,5,0,1,False,True
1,3,0,2,-0.1814872444684187,0.021730754366528396,3,0,0,False,True
1,2,1,0,-1.180535207645204,0.058694292654020104,2,0,0,False,False
1,3,1,1,-1.949033640858116,0.03259622914329302,3,0,0,False,True
1,1,0,0,2.200857898491608,0.051822148727810165,1,1,0,False,True
0,3,0,0,-0.719436147717457,0.015712553569072387,1,1,1,False,True
0,3,1,5,0.7407108753870755,0.06104473451835265,7,0,1,False,True
0,3,0,0,-1.180535207645204,0.015330377421392339,1,1,0,False,True
1,2,0,0,1.9703083685277343,0.03122992013728673,1,1,0,False,True
0,3,4,1,-2.1027333275006983,0.05684821399990475,6,0,1,True,False
1,2,0,0,-0.10463740114712752,0.025374310111545468,1,1,1,False,True
0,3,1,0,0.12591212881674602,0.03513366015444757,2,0,0,False,True
1,3,0,0,-0.10463740114712752,0.014102260811993537,1,1,0,False,False
0,2,0,0,0.4333115021019107,0.050748620223090936,1,1,1,False,True
1,2,0,0,0.35646165878061953,0.025374310111545468,1,1,1,False,True
1,3,0,0,-1.1036853643239128,0.015671954672893913,1,1,0,True,False
1,1,0,0,-0.10463740114712752,0.06929138530460494,1,1,1,False,True
0,3,3,1,-1.6416342675729512,0.04113566043083236,5,0,0,False,True
1,3,1,5,0.6638610320657843,0.06126431989431795,7,0,0,False,True
0,3,0,0,-0.10463740114712752,0.014102260811993537,1,1,1,False,False
0,1,3,2,-0.7962859910387481,0.5133418122566507,6,0,1,False,True
1,3,0,0,-0.10463740114712752,0.01537917417160685,1,1,0,True,False
0,3,0,0,-0.10463740114712752,0.015411575213749286,1,1,1,False,True
0,1,0,0,0.8175607187083667,0.05410739813385612,1,1,1,False,False
1,1,1,0,-0.10463740114712752,0.2859895551532101,2,0,0,False,False
1,3,0,0,-0.10463740114712752,0.015126992566498259,1,1,0,True,False
0,2,0,0,2.8156566450619374,0.020494635090094415,1,1,1,False,True
